src,dst,port,proto,State,label,class,modelsize
147.32.84.134,194.79.52.199,80.0,tcp,"66.w.W.W.w.w.w.w.W.W.W.Z.Z.Z.Z.Z.z.Z.I.z.z.W,W.f.Z+Z.z.Z.Z.z.I.Z.Z.z.I.I.W*W.W.W.w.W.W.W.W.W.W.W.Z.z.Z.z.Z,Z.z.w.",Normal-Jist,normal,113
147.32.84.134,194.79.52.204,80.0,tcp,"66.f.W.X,W.W.w.X.X+X.W*W.w.W,X.",Normal-Jist,normal,31
147.32.84.134,194.79.52.99,80.0,tcp,"99,z+Z.",Normal-Jist,normal,7
147.32.84.134,194.79.54.24,80.0,tcp,66.F.,Normal-Jist,normal,5
147.32.84.134,194.79.54.61,80.0,tcp,"66.F.w.w.F.X.X.G.X.x.x.X.X.X,X.X.x.X+X.x.W*W.w.Y.",Normal-Jist,normal,49
147.32.84.134,194.79.54.62,80.0,tcp,"86*W.W.W.W.w.X.x.x.X.X.X.X,X.X.x.",Normal-Jist,normal,33
147.32.84.134,195.113.232.74,80.0,tcp,99.W.W0W.W.W.W*W.w.,Normal-Jist,normal,19
147.32.84.134,195.113.232.82,80.0,tcp,66.Z.Z.I.Z.z.z.W0W.f.W.W.w.Z.W*W.W.W.W.W.Z.z.Z.W*W.W.w.w.W.W+W.w.,Normal-Jist,normal,65
147.32.84.134,195.168.10.171,80.0,tcp,76.w.X+W.W.Y*W.F.,Normal-Jist,normal,17
147.32.84.134,199.7.52.72,80.0,tcp,85.y.,Normal-Jist,normal,5
147.32.84.134,2.20.182.19,443.0,tcp,99.Z.I.Z.Z.Z.z.z.Z.Z.Z.,Normal-Jist,normal,23
147.32.84.134,2.20.182.41,443.0,tcp,"99.z.z.Z.Z.Z.Z.Z,Z.I.Z,Z.z.I.z.z.Z*Z.z.z.Z.Z.Z.z.z.Z.Z+",Normal-Jist,normal,55
147.32.84.134,2.21.98.110,443.0,tcp,"99.z.z.i.Z.Z+Z.Z.z.I.I.Z+Z.Z.I.Z+Z.Z.Z.z.z.Z,Z.z.I.i.i.Z,Z.Z.i.Z+Z.I.i.Z.Z.Z+Z.Z.z.Z.Z.Z,Z.Z,Z.z.z.z.i.Z*Z.Z.Z.Z.z.Z,Z*Z.Z.z.z.Z.Z,Z.",Normal-Jist,normal,133
147.32.84.134,2.21.99.206,443.0,tcp,"99.Z.z.Z+Z.I.Z.Z.Z*Z.Z.z.Z,Z.Z,z,Z.I.Z+Z.z.z.i.Z+Z.I.z.Z,Z.Z.z.Z*Z.Z.Z.Z*Z.i.Z.Z.",Normal-Jist,normal,81
147.32.84.134,209.85.148.104,80.0,tcp,"66,W.W.w.W.Z.",Normal-Jist,normal,13
147.32.84.134,209.85.148.106,80.0,tcp,66.W.W.w.F.Z.W*w*w*W.W.w.w.W.Z.W+W.W.W.w.w.,Normal-Jist,normal,43
147.32.84.134,209.85.148.99,80.0,tcp,"96.Z.z.W,W.F.f.W*Z.W.W.f.w.w.",Normal-Jist,normal,29
147.32.84.134,209.85.149.101,80.0,tcp,99*Z000,Normal-Jist,normal,7
147.32.84.134,209.85.149.132,443.0,tcp,99.Z.z.I.I.,Normal-Jist,normal,11
147.32.84.134,209.85.149.139,80.0,tcp,9900I00,Normal-Jist,normal,7
147.32.84.134,62.168.44.115,80.0,tcp,66.W.,Normal-Jist,normal,5
147.32.84.134,62.168.44.116,80.0,tcp,"55.V.W,W.e.",Normal-Jist,normal,11
147.32.84.134,64.4.34.35,1863.0,tcp,990i0i0,Normal-Jist,normal,7
147.32.84.134,64.4.44.94,1863.0,tcp,990f0,Normal-Jist,normal,5
147.32.84.134,65.55.142.20,80.0,tcp,99.Z*Z.,Normal-Jist,normal,7
147.32.84.134,66.220.151.91,443.0,tcp,"66.w.W.W.W,i,Y.F.W+W.Z+Z.z.W.W.h.Z.Z.Z.W.Z.Z+Z.Z.I.Z.Z.W.w.W,Z+Z.Z.Z.Z.z.Y.Z,Y.W,W.F.W.z.W+W.Z.Z+Z.z.z.Z.W,Z*Z.I.z.W.W.W.F.Y.H.W+z*Z.i.I.z.F.W.w.Z,",Normal-Jist,normal,147
147.32.84.134,66.220.158.25,80.0,tcp,96.W.F.F.,Normal-Jist,normal,9
147.32.84.134,66.220.158.32,443.0,tcp,99.Z.Z.Z.Z.,Normal-Jist,normal,11
147.32.84.134,66.220.158.32,80.0,tcp,96.W.W.,Normal-Jist,normal,7
147.32.84.134,69.171.242.12,443.0,tcp,99.Z.Z.Z.z.I.Z.z.Z.,Normal-Jist,normal,19
147.32.84.134,69.171.242.40,80.0,tcp,66.W.,Normal-Jist,normal,5
147.32.84.134,69.63.181.12,80.0,tcp,"66.Z.W*Z,W*Z.",Normal-Jist,normal,13
147.32.84.134,69.63.189.26,443.0,tcp,"99.I.Z.Z.I.Z,",Normal-Jist,normal,13
147.32.84.134,69.63.189.26,80.0,tcp,66.w.Z.,Normal-Jist,normal,7
147.32.84.134,69.63.190.10,443.0,tcp,99.Z.Z.Z.I.I.Z.Z+Z.z.z.,Normal-Jist,normal,23
147.32.84.134,69.63.190.14,443.0,tcp,"99.i.I.i.I.Z*Z.i.Z,Z.z.Z,Z.",Normal-Jist,normal,27
147.32.84.134,74.125.232.193,80.0,tcp,990I*,Normal-Jist,normal,5
147.32.84.134,74.125.232.195,80.0,tcp,99.Z.z.z.Z*w0W.W.W.Z*,Normal-Jist,normal,21
147.32.84.134,74.125.232.196,443.0,tcp,79.Z.Z*z*,Normal-Jist,normal,9
147.32.84.134,74.125.232.196,80.0,tcp,"99.Z,Z.I.Z00z*",Normal-Jist,normal,14
147.32.84.134,74.125.232.197,80.0,tcp,9600W.Z00,Normal-Jist,normal,9
147.32.84.134,74.125.232.198,80.0,tcp,96*W.W.,Normal-Jist,normal,7
147.32.84.134,74.125.232.199,80.0,tcp,66000W.W.Z.Z*,Normal-Jist,normal,13
147.32.84.134,74.125.232.200,80.0,tcp,"79.Z,Z.W00W.",Normal-Jist,normal,12
147.32.84.134,74.125.232.201,443.0,tcp,97*X+,Normal-Jist,normal,5
147.32.84.134,74.125.232.201,80.0,tcp,96*W.f.Z.Z*Z+,Normal-Jist,normal,13
147.32.84.134,74.125.232.202,80.0,tcp,"96*W.w.W.Z,Z.z.i.z.",Normal-Jist,normal,19
147.32.84.134,74.125.232.203,80.0,tcp,"66.W.Z+W*W.W.Z.W,W.w.Z.Z.w.",Normal-Jist,normal,27
147.32.84.134,74.125.232.205,80.0,tcp,9600W.W.W.,Normal-Jist,normal,10
147.32.84.134,74.125.232.207,80.0,tcp,990I0,Normal-Jist,normal,5
147.32.84.134,74.125.232.223,80.0,tcp,"99+Z0W,W.W.W*W.F.W*W.W.W*W.W*W.W+W.",Normal-Jist,normal,35
147.32.84.134,74.125.43.16,993.0,tcp,9900z*i0,Normal-Jist,normal,8
147.32.84.134,77.104.226.16,80.0,tcp,66.Z.z.Z.i.z.i.Z+Z.I.I.,Normal-Jist,normal,23
147.32.84.134,77.104.226.22,80.0,tcp,"77.X,",Normal-Jist,normal,5
147.32.84.134,77.78.99.22,80.0,tcp,"55.v.V.V.V.X.V,V.E.V.V.E.X.G.x.V*V.V.X.x.X,X.",Normal-Jist,normal,45
147.32.84.134,80.239.149.10,80.0,tcp,66.W.,Normal-Jist,normal,5
147.32.84.134,80.239.149.19,443.0,tcp,99.Z.I.i.z.Z+Z.Z.Z*Z.Z.z.Z.Z.,Normal-Jist,normal,29
147.32.84.134,80.239.149.24,80.0,tcp,99.Z.I.,Normal-Jist,normal,7
147.32.84.134,80.239.149.26,80.0,tcp,66.w.w.,Normal-Jist,normal,7
147.32.84.134,80.239.149.35,443.0,tcp,"99.Z.z.Z.z.Z,Z.Z.Z.i.",Normal-Jist,normal,21
147.32.84.134,80.239.149.8,443.0,tcp,99.Z.Z.Z.Z.,Normal-Jist,normal,11
147.32.84.134,80.250.15.41,80.0,tcp,99.Z.I.I.Z.,Normal-Jist,normal,11
147.32.84.134,80.250.15.9,80.0,tcp,66.z.z.I.I.z.Z.Z.z.Z.I.,Normal-Jist,normal,23
147.32.84.134,81.31.45.94,80.0,tcp,"66.F.F.f.f.Z.Z.Z.Z.Z.I.W+W.w.F.f.f.Z.Z.Z.z.I.i.Z,Z.Z.Z,i,W.W.w.w.W.w.",Normal-Jist,normal,69
147.32.84.134,82.208.47.218,80.0,tcp,88+Z*,Normal-Jist,normal,5
147.32.84.134,88.86.100.176,80.0,tcp,77.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.h.G.G.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.g.h.G.G.g.g.g.g.g.g.g.g.g.g.g.g.h.G.H.h.G.G.g.g.g.g.g.g.g.,Normal-Jist,normal,487
147.32.84.134,88.86.101.2,80.0,tcp,"77+X,g,x,x,",Normal-Jist,normal,11
147.32.84.134,91.189.94.12,80.0,tcp,99.Z.z.Z.z.,Normal-Jist,normal,11
147.32.84.134,91.198.174.232,80.0,tcp,96.Z*Z0,Normal-Jist,normal,7
147.32.84.134,91.198.174.233,80.0,tcp,88.Y.Y.X.Y*Y.y.Y.Y.Z0Z.z.W.,Normal-Jist,normal,27
147.32.84.134,91.198.174.234,80.0,tcp,99.Z.i.I.Z*Z.Z0Z.Z.I.I.z.,Normal-Jist,normal,25
147.32.84.134,92.123.64.104,443.0,tcp,"99.I.i.Z.Z.Z.Z.Z.z.Z*Z.I.I.z.z.Z,Z.Z.z.",Normal-Jist,normal,39
147.32.84.134,92.123.64.160,443.0,tcp,"99.Z.Z*Z.Z.Z.Z.Z,Z.Z.Z.Z.Z*Z.Z.z.Z.z.",Normal-Jist,normal,37
147.32.84.134,92.123.64.169,443.0,tcp,99.z.Z*Z.z.Z.Z.z.i.I.,Normal-Jist,normal,21
147.32.84.134,92.123.64.171,443.0,tcp,99.I.I.i.Z.,Normal-Jist,normal,11
147.32.84.134,92.123.68.145,443.0,tcp,99.Z.I.,Normal-Jist,normal,7
147.32.84.137,82.208.56.89,123.0,udp,660f0f0f0f0,Normal-UDP-NTP-server,normal,11
147.32.84.15,82.208.56.89,123.0,udp,69*z0i0i0i0f0,Normal-UDP-NTP-server,normal,13
147.32.84.164,140.98.193.112,80.0,tcp,89.Z.I.i.i.Y00000Y.Z.,Normal-Grill,normal,21
147.32.84.164,140.98.193.169,80.0,tcp,69.Z00000W.,Normal-Grill,normal,11
147.32.84.164,147.32.235.130,443.0,tcp,"99.z.Z.Z.z.Z,Z.z.i.",Normal-Grill,normal,19
